Identifier,Actual Dates:Duration months,Actual Dates:End Date,Actual Dates:Start Date,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:0:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Beneficiary Location:Name,Currency,Data Source,Description,From An Open Call?,Funding Org:Description,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Funding Org:Web Address,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Last modified,License see note,Planned Dates:Duration (months),Planned Dates:Duration months,Planned Dates:End Date,Planned Dates:Start Date,Publisher:Name,Recipient District,Recipient District Geographic Code,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Identifier,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Name,Recipient Org:Name,Recipient Org:Postal Code,Recipient Region,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,Title,URL,org_type,postcode,org_income,osward,lsoa11,lat,long,relevant
360G-blf-0030130051,,,,124525.0,124525.0,,2004-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"The Royal Borough of Kingston upon Thames will provide a  floodlit multi-use games area with floodlighting, fencing and a polymeric surface at Chessington Community College. The school is a specialist sports college adjacent to a sports centre. The new facility will be used for tennis, netball and football by 1980 pupils from the borough. There will also be an estimated 1500 users from the local community.",,,360G-blf,The Big Lottery Fund,,,EPE1,New Opportunities for PE and Sport,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,24.0,,2007-04-16,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-org-RoyalBoroughofKingstonUponThamesPublicSector:LocalAuthority1052001,E05000405,,Chessington South,E09000021,,Kingston upon Thames,,,,Royal Borough of Kingston Upon Thames,,London,Chessington South Ward,E05000405,2018-06-04T09:08:02+00:00,Chessington Community College - Multi use Games Area,,Government,,,,,,,0
360G-EFF-08-0444,,,,,5000.0,,2008-03-26,,,,England/West Midlands/Shropshire/Shrewsbury and Atcham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,"Towards a series of events in Shrewsbury to commemorate the 90th anniversary of Wilfred Owen, and the signing of the 1918 armistice.",,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Main Grant,,,https://creativecommons.org/licenses/by/4.0/,,12.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,702606,,360G-EFF-001b000003VLrhQ,,,,,,,,,,Wilfred Owen Association,KT5 8BP,London,St. Mark's Ward,E05000412,2018-06-04T13:14:14+00:00,Grant to Wilfred Owen Association,http://www.1914-18.co.uk/owen/,Charity,KT5 8BP,6274.0,E05000412,E01002991,51.399914,-0.297257,0
360G-EFF-09-2613,,,,,75000.0,,2010-02-10,,,,England/London/Kingston upon Thames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Towards the costs of the artistic programme.,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Main Grant,,,https://creativecommons.org/licenses/by/4.0/,,12.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,1000182,,GB-CHC-1000182,,,,,,,,,,Kingston Theatre Trust,KT1 1HL,London,Grove Ward,E05000408,2018-06-04T13:14:14+00:00,Grant to Kingston Theatre Trust,http://www.rosetheatrekingston.org,Charity,KT1 1HL,4304951.0,E05000408,E01002968,51.408258,-0.307731,0
360G-blf-0031028831,,,,,7490.0,,2015-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,WGI Stage 1,,,360G-blf,The Big Lottery Fund,,,WGI1,Women and Girls Initiative,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,4.0,2016-04-02T00:00:00+00:00,2015-12-02T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,312825,201528,GB-CHC-312825,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,Hillcroft College,,London,Surbiton Hill Ward,E05000413,2018-06-04T08:59:31+00:00,WGI Stage 2,,University or College,TW9 2RE,2267347.0,E05000528,E01003876,51.464375,-0.303021,0
360G-blf-AVR_1_010117073,,,,525.0,525.0,,2004-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"A Second World War Veteran from London has been awarded a grant towards the travel costs for a commemorative visit to Normandy, France.  Funding has been provided for 1 Veteran and 1 Spouse.",,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2004-08-04,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-53FD9AA6-99A8-467D-8693-47F3F4A7A62F,E05000406,,Coombe Hill,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Coombe Hill Ward,E05000406,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-SE-2013011973LOTT,,,,,9960.0,9960.0,2014-02-13,GB,,,W4 3TU,,E14000593,WPC,Brentford and Isleworth,,E09000018,LAD,Hounslow,,E01002579,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Team Keane Rowing Progression Project'. This project lists its main activity as Rowing.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,11.0,2014-12-27T00:00:00+00:00,2014-01-31T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,1151845,,GB-CHC-1151845,,,,,,,,,,Team Keane Sculling School,KT2 5TB,London,Canbury Ward,E05000403,2018-06-04T13:16:09+00:00,Team Keane Rowing Progression Project,,Charity,KT2 5TB,173931.0,E05000403,E01002934,51.42064,-0.298342,0
360G-SE-2014008570LOTT,,,,,1894.0,1894.0,2014-04-23,GB,,,KT6 4HH,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002967,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Emergency Flood Relief funding programme for a Capital project titled 'Emergency Flood Relief'. This project lists its main activity as Sailing & Yachting. This funding has contributed towards a Flood Relief - Flood Relief (Repair/Defence),Yes,,GB-COH-RC000766,Sport England,,,EMFRF,Emergency Flood Relief,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,3.0,2014-06-30T00:00:00+00:00,2014-04-21T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2014008570,,,,,,,,,,Thames Sailing Club,KT6 4HH,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Emergency Flood Relief,,Sport Club,KT6 4HH,,E05000408,E01002967,51.397438,-0.311336,0
360G-blf-AVR_1_010116942,,,,300.0,300.0,,2004-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War Veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to France in in June of this year.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2004-05-26,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-BF67BCA0-5947-4EB6-8D9F-D91FDD9CA8F1,E05000409,,Norbiton,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Norbiton Ward,E05000409,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-0030025312,,,,5000.0,5000.0,,2005-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,The aim of the group is to provide support for people who live in the community and who suffer from mental health problems.  An award would be used to develop a Healthy Living Programme to encourage people with moderate to severe mental problems to review their lifestyles. Contribution towards 2 x Staff Salaries(£5000),,,360G-blf,The Big Lottery Fund,,,A4E3,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2005-08-30,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,802456,,GB-CHC-802456,E05000413,,Surbiton Hill,E09000021,,Kingston upon Thames,,,,The Fircroft Trust,,London,Surbiton Hill Ward,E05000413,2018-06-04T09:08:02+00:00,Healthy Living Programme,,Charity,KT6 6RH,583287.0,E05000413,E01002994,51.382183,-0.303562,0
360G-SE-2012010321LOTT,,,,,122500.0,107064.0,2012-11-05,GB,,,KT1 1TY,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002968,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's College Sport Makers funding programme for a Revenue project titled 'College Sport Makers'. This project lists its main activity as Sports Development.,Yes,,GB-COH-RC000766,Sport England,,,CSM,College Sport Makers,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,60.0,2017-08-31T00:00:00+00:00,2012-09-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2012010321,,,,,,,,,,Kingston College,KT1 2AQ,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,College Sport Makers,,University or College,KT1 2AQ,,E05000408,E01002968,51.406938,-0.305378,0
