Identifier,Actual Dates:Duration months,Actual Dates:End Date,Actual Dates:Start Date,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:0:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Beneficiary Location:Name,Currency,Data Source,Description,From An Open Call?,Funding Org:Description,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Funding Org:Web Address,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Last modified,License see note,Planned Dates:Duration (months),Planned Dates:Duration months,Planned Dates:End Date,Planned Dates:Start Date,Publisher:Name,Recipient District,Recipient District Geographic Code,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Identifier,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Name,Recipient Org:Name,Recipient Org:Postal Code,Recipient Region,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,Title,URL,org_type,postcode,org_income,osward,lsoa11,lat,long,relevant
360G-COOPGROUP-3877,,,,,1285.66,,2017-08-04,,KT1,PD,KT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"Fund our carnival to bring together communities, make a positive impact and ensure that Kingston is a colourful, exciting place to live.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1135522,,GB-CHC-1135522,,,,,,,,,,Kingston Race and Equalities Council,KT1 1BW,London,Grove Ward,E05000408,2018-06-04T13:13:36+00:00,Grant to Kingston Race and Equalities Council,,Charity,KT1 1BW,76847.0,E05000408,E01002968,51.410061,-0.303048,1
360G-COOPGROUP-2790,,,,,1513.61,,2017-08-04,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"Help us run our courses for free to support all people with long-term, enduring mental health issues to be resilient & confident.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1076791,,GB-CHC-1076791,,,,,,,,,,Mind in Kingston,KT2 6LX,London,Canbury Ward,E05000403,2018-06-04T13:13:36+00:00,Grant to Mind in Kingston,,Charity,KT2 6LX,316973.0,E05000403,E01033569,51.412991,-0.298597,1
360G-COOPGROUP-2889,,,,,1646.29,,2017-08-04,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,Our Trips & Treats programme aims to bring some fun and laughter to children who are enduring tough treatment for cancer or serious illness,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1106677,,GB-CHC-1106677,,,,,,,,,,Momentum,KT2 5JE,London,Canbury Ward,E05000403,2018-06-04T13:13:36+00:00,Grant to Momentum,,Charity,KT2 5JE,647409.0,E05000403,E01002934,51.418428,-0.297734,1
360G-EFF-15-0782,,,,,60000.0,,2015-11-02,,,,UK Whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Towards the salary of the campaign director to eliminate the sale of sharks and other threatened fish species in the UK and strengthen the organisation's partnerships and capacity.,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Main Grant,,,https://creativecommons.org/licenses/by/4.0/,,36.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,1137772,,GB-CHC-1137772,,,,,,,,,,Bite-Back Shark and Marine Conservation,KT1 3EX,London,Norbiton Ward,E05000409,2018-06-04T13:14:14+00:00,Grant to Bite-Back Shark and Marine Conservation,http://www.bite-back.com,Charity,KT1 3EX,50576.0,E05000409,E01002971,51.406884,-0.289837,1
360G-EFF-13-1888,,,,,500000.0,,2014-09-10,,,,England/London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,"An investment in Y Cube Housing, a new housing solution for young people.",,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Social Investment,,,https://creativecommons.org/licenses/by/4.0/,,84.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,1041923,,GB-CHC-1041923,,,,,,,,,,YMCA London South West,KT6 4QH,London,St. Mark's Ward,E05000412,2018-06-04T13:14:14+00:00,Social investment YMCA London South West,http://www.ymcalsw.org,Charity,KT6 4QH,17089802.0,E05000412,E01002989,51.393362,-0.305549,0
360G-cabinetoffice-GA-033377,,,,,15323000.0,,2012-03-31,,E92000001,CTRY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/663589/GGIS_Grant_Awards_2016_to_2017_2017-10-27_1621.xlsx,Support for local highways maintenance.,No,,D9,Department for Transport,,,SCH-000000476,Highways Maintenance Block 2016/17,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2013-03-30T00:00:00+00:00,2012-03-31T00:00:00+00:00,Cabinet Office,Kingston upon Thames London Boro,E09000021,,,GGIS_ID_401,,,,,,,,,,Surrey County Council,KT1 2DN,London,Grove Ward,E05000408,2018-06-04T13:13:21+00:00,Highways Maintenance Block 2016/17,,Government,KT1 2DN,,E05000408,E01002965,51.404903,-0.305144,0
360G-COOPGROUP-1637,,,,,1106.94,,2017-08-04,,KT3,PD,KT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,Bikes and play equipment will help our children to play happily and safely indoors and outdoors.,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1038134,,GB-CHC-1038134,,,,,,,,,,Abacus Pre-School,KT3 3QE,London,Beverley Ward,E05000402,2018-06-04T13:13:36+00:00,Grant to Abacus Pre-School,,Pre School,KT3 3QE,90749.0,E05000402,E01002930,51.401788,-0.257665,0
360G-dulverton-006D000000MJrJQ,,,,,5000.0,,2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://www.dulverton.org/wp-content/uploads/2018/01/360G_dulverton_Jan2005_Jan2018.xlsx,Towards the expansion of the Reading List Project,,,GB-COH-07991677,The Dulverton Trust,,,,,,,https://creativecommons.org/licenses/by/4.0/,,,2008-02-06T00:00:00+00:00,2007-02-06T00:00:00+00:00,The Dulverton Trust,Kingston upon Thames London Boro,E09000021,,,GB-CHC-1089810,,,,,,,,,,Partnership for Children,KT1 1JH,London,Grove Ward,E05000408,2018-06-04T13:20:06+00:00,Towards the expansion of the Reading List Project,,Charity,KT1 1JH,,E05000408,E01002968,51.409588,-0.305776,0
360G-COOPGROUP-7116,,,,,1426.32,,2017-11-29,,KT3,PD,KT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"We want to buy new kit for our development team and promote the team and its matches, building a respected brand and pride among locals.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,,,360G-coopgroup-Malden_Wanderers_Cricket_&_Lawn_Tennis_Club,,,,,,,,,,Malden Wanderers Cricket & Lawn Tennis Club,KT3 4LE,London,Beverley Ward,E05000402,2018-06-04T13:13:36+00:00,Grant to Malden Wanderers Cricket & Lawn Tennis Club,,Sport Club,KT3 4LE,,E05000402,E01002929,51.408609,-0.253811,1
360G-blf-0031047286,,,,,7663.0,,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,"The funding will be used to run a summer peer support programme for young carers which will include drama workshops, healthy eating and budgeting sessions and a variety of family seaside, camping and adventure trips. The project aims to improve personal and emotional resilience through respite breaks, peer support and developing life skills.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2018-04-13T00:00:00+00:00,2017-04-13T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1151456,8376060,GB-CHC-1151456,E05000402,,Beverley,E09000021,,Kingston upon Thames,,,,Kingston Carers' Network,,London,Beverley Ward,E05000402,2018-06-04T08:59:31+00:00,"Young Carers thrive, not survive",,Charity,SW19 5JP,547026.0,E05000472,E01003464,51.43676,-0.222956,1
360G-COOPGROUP-7767,,,,,1543.77,,2017-11-29,,KT3,PD,KT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,We want to buy outdoor games for the garden of our residential home which will benefit the wide ranges of age and disability of residents.,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,313069,,GB-CHC-313069,,,,,,,,,,Hft Thetford Road (part of HF Trust),KT3 5DN,London,St. James Ward,E05000411,2018-06-04T13:13:36+00:00,Grant to Hft Thetford Road (part of HF Trust),,Charity,KT3 5DN,78257000.0,E05000411,E01002984,51.396088,-0.256588,1
360G-COOPGROUP-5704,,,,,2001.5,,2017-11-29,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"We need to buy a new saddle and bridle to assist our disabled riders to be safer, more comfortable and to help in their learning.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1073731,,GB-CHC-1073731,,,,,,,,,,Barnfield Riding for the Disabled,KT2 5LL,London,Tudor Ward,E05000415,2018-06-04T13:13:36+00:00,Grant to Barnfield Riding for the Disabled,,Charity,KT2 5LL,22583.0,E05000415,E01003009,51.426766,-0.292913,1
360G-COOPGROUP-9757,,,,,1845.9,,2017-11-29,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"We need to replace an area of our playroom floor with a warm, cleaner area suitable for babies, used weekly by two baby groups.  ",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,206286,,GB-CHC-206286,,,,,,,,,,Kingston and District WelCare Association,KT2 6LQ,London,Canbury Ward,E05000403,2018-06-04T13:13:36+00:00,Grant to Kingston and District WelCare Association,,Charity,KT2 6LQ,137174.0,E05000403,E01002937,51.413579,-0.295138,1
360G-SE-2009107967LOTT,,,,,3650.0,3650.0,2009-10-28,GB,,,TW10 5HH,,E14000896,WPC,Richmond Park,,E09000027,LAD,Richmond upon Thames,,E01003817,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'HMP Latchmere House gym and sports activities'. This project lists its main activity as Cycling.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2010-11-01T00:00:00+00:00,2009-11-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,1041923,02971930,GB-COH-02971930,,,,,,,,,,Kingston & Wimbledon YMCA,KT6 4NG,London,St. Mark's Ward,E05000412,2018-06-04T13:16:09+00:00,HMP Latchmere House gym and sports activities,,Charity,KT6 4NG,17089802.0,E05000412,E01002987,51.391452,-0.307782,0
360G-blf-0031047221,,,,,424005.0,,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,"This group will develop an existing project providing a holistic service to meet the needs of young carers. The project aims to give young carers better chances in life through addressing the difficulties they face such as anxiety, strain in family relationships, restrictions in attending social activities and under-engagement in schools. It will support them to improve their life skills, wellbeing and educational achievement. It will target hidden carers and those at risk from harmful or excessive caring.",,,360G-blf,The Big Lottery Fund,,,RC5,Reaching Communities,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,36.0,2020-06-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1151456,8376060,GB-CHC-1151456,E05000409,,Norbiton,E09000021,,Kingston upon Thames,,,,Kingston Carers' Network,,London,Norbiton Ward,E05000409,2018-06-04T08:59:31+00:00,Improving Outcomes for Young Carers,,Charity,SW19 5JP,547026.0,E05000472,E01003464,51.43676,-0.222956,1
360G-HenrySmithCharity-20143030,,,,,70400.0,,2015-03-12,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.henrysmithcharity.org.uk/wp-content/uploads/2017/10/360-Giving-Format-Grants-data-Jan-2012-Mar17.xlsx,towards two years' running costs of one-to-one English classes and functional literacy classes for BAME communities in Kingston and Richmond,,,GB-CHC-230102,The Henry Smith Charity ,,,,Main Grant,,,https://creativecommons.org/licenses/by/4.0/,,36.0,,,Henry Smith Charity,Kingston upon Thames London Boro,E09000021,1153425,,GB-CHC-1057008,,,,,,,,,,Learn English at Home,KT2 6LX,London,Canbury Ward,E05000403,2018-06-04T13:14:34+00:00,Grant to Learn English at Home,,Charity,KT2 6LX,208355.0,E05000403,E01033569,51.412991,-0.298597,1
360G-SE-2014005140LOTT,,,,,1500.0,1500.0,2014-04-10,GB,,,KT2 5JZ,,E14000896,WPC,Richmond Park,,E09000021,LAD,Kingston upon Thames,,E01003009,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Emergency Flood Relief funding programme for a Capital project titled 'Emergency Flood Relief'. This project lists its main activity as Association Football. This funding has contributed towards a Flood Relief - Flood Relief (Repair/Defence),Yes,,GB-COH-RC000766,Sport England,,,EMFRF,Emergency Flood Relief,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,2.0,2014-05-24T00:00:00+00:00,2014-03-24T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2014005140,,,,,,,,,,The London Borough of Hounslow,KT2 5JZ,London,Tudor Ward,E05000415,2018-06-04T13:16:09+00:00,Emergency Flood Relief,,Government,KT2 5JZ,,E05000415,E01003009,51.421256,-0.289402,0
360G-ClothworkersFdn-200805204,,,,,40000.0,,2016-07-07,,,,Greater London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://foundation.clothworkers.co.uk/ClothworkersFoundation/media/360giving/Clothworkers-Foundation-2016.xlsx,Building refurbishment,Yes,,GB-CHC-274100,The Clothworkers Foundation,,,,Main Grants Programme,,,https://creativecommons.org/licenses/by/4.0/,,,,,The Clothworkers' Foundation,Kingston upon Thames London Boro,E09000021,255682,,GB-CHC-255682,,,,,,,,,,Kingston upon Thames Samaritans,KT1 2QS,London,Grove Ward,E05000408,2018-06-04T13:20:03+00:00,Grant to Kingston upon Thames Samaritans,,Charity,KT1 2QS,,E05000408,E01002968,51.407673,-0.302727,1
360G-SE-2013008200LOTT,,,,,50000.0,49386.0,2013-08-22,GB,,,TW18 1SS,,E14000959,WPC,Spelthorne,,E07000213,LAD,Spelthorne,,E01030721,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Canoeing Chance'. This project lists its main activity as Canoeing. This funding has contributed towards a Boats, Canoes, etc. - Boats, Canoes, etc. (Boats, Canoes, etc.)",Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,11.0,2014-06-30T00:00:00+00:00,2013-08-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2013008200,,,,,,,,,,Surrey Canoe Club,KT5 8QA,London,Berrylands Ward,E05000401,2018-06-04T13:16:09+00:00,Canoeing Chance,,Sport Club,KT5 8QA,,E05000401,E01002921,51.394924,-0.293546,0
360G-COOPGROUP-9344,,,,,1481.9,,2017-11-29,,KT4,PD,KT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,We are always looking to update our facilities so that we can continue to provide excellent care for our children.,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1030956,,GB-CHC-1030956,,,,,,,,,,Plough Green Preschool,KT4 7NY,London,Old Malden Ward,E05000410,2018-06-04T13:13:36+00:00,Grant to Plough Green Preschool,,Pre School,KT4 7NY,102689.0,E05000410,E01002978,51.382992,-0.249728,0
360G-HenrySmithCharity-20130804,,,,,3000.0,,2013-06-13,,,,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.henrysmithcharity.org.uk/wp-content/uploads/2017/10/360-Giving-Format-Grants-data-Jan-2012-Mar17.xlsx,towards one year's running costs of an art project for disabled adults in Surrey,,,GB-CHC-230102,The Henry Smith Charity ,,,,County Grant,,,https://creativecommons.org/licenses/by/4.0/,,12.0,,,Henry Smith Charity,Kingston upon Thames London Boro,E09000021,278538,,GB-CHC-278538,,,,,,,,,,Conquest Art,KT9 1BD,London,Tolworth and Hook Rise Ward,E05000414,2018-06-04T13:14:34+00:00,Grant to Conquest Art,,Charity,KT9 1BD,,E05000414,E01003000,51.372576,-0.292251,0
360G-SE-2015006826LOTT,,,,,1938.0,1938.0,2015-08-27,GB,,,BH22 9EZ,,E14000638,WPC,Christchurch,,E07000049,LAD,East Dorset,,E01020408,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Swimming Accessibility'. This project lists its main activity as Swimming & Diving.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2016-09-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,08363432,GB-COH-08363432,,,,,,,,,,Places for People Leisure Limited,KT1 3PB,London,Norbiton Ward,E05000409,2018-06-04T13:16:09+00:00,Swimming Accessibility,,Leisure Trust,KT1 3PB,,E05000409,E01002970,51.40605,-0.281429,0
360G-blf-0031040828,,,,,9400.0,,2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,This project will use the funding to deliver a year long celebration with monthly showcases of traditional music and artwork to recognise the cross cultures within the area. It will culminate in an Autumn showcase bringing communities together with a festival feel. This will enable the organisation to celebrate the diverse culture in the area.,,,360G-blf,The Big Lottery Fund,,,CEL1,Celebrate,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2017-10-24T00:00:00+00:00,2016-10-24T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1164226,,GB-CHC-1164226,E05000408,,Grove,E09000021,,Kingston upon Thames,,,,Global Arts Kingston,,London,Grove Ward,E05000408,2018-06-04T08:59:31+00:00,Global Beats,,Charity,KT5 9HR,36769.0,E05000400,E01002917,51.389471,-0.279204,1
360G-SE-2017000558LOTT,,,,,5870.0,5870.0,2017-05-08,GB,,,BH22 9EZ,,E14000638,WPC,Christchurch,,E07000049,LAD,East Dorset,,E01020408,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Get active with Petanque'. This project lists its main activity as Petanque.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2018-06-04T00:00:00+00:00,2017-06-05T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,08363432,GB-COH-08363432,,,,,,,,,,Places for People Leisure Limited,KT1 3PB,London,Norbiton Ward,E05000409,2018-06-04T13:16:09+00:00,Get active with Petanque,,Leisure Trust,KT1 3PB,,E05000409,E01002970,51.40605,-0.281429,0
360G-SE-2017002260LOTT,,,,,9125.0,9125.0,2017-05-22,GB,,,UB5 5LQ ,,E14000675,WPC,Ealing North,,E09000009,LAD,Ealing,,E01001326,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Hope Thru Hoops Development Project'. This project is a Basketball project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,10.0,2018-03-30T00:00:00+00:00,2017-06-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,1109835,,GB-CHC-1109835,,,,,,,,,,Hope Thru Hoops,KT1 2JF,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Hope Thru Hoops Development Project,,Charity,KT1 2JF,0.0,E05000408,E01002965,51.401192,-0.305964,1
360G-northernrock:1096,,,,12000.0,8000.0,,2001-08-01,GB,,,Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://docs.google.com/spreadsheets/d/1gyyHFzS60yrMqindaaTNW8kSFa0sOIZAjDIR8sZ5dLA/export?format=xlsx,"To extend the hours of the support worker, working with individuals and families throughout the North East.",,,GB-COH-03416658,Northern Rock Foundation,,,,,,,http://www.opendefinition.org/licenses/odc-pddl,,24.0,2003-08-01T00:00:00+00:00,2001-08-01T00:00:00+00:00,Northern Rock Foundation,Kingston upon Thames London Boro,E09000021,,1078790.0,GB-CHC-1078790,,,,,,,,,,The Neurofibromatosis Association,KT1 1HL,London,Grove Ward,E05000408,2018-06-04T13:15:23+00:00,Grant awarded to The Neurofibromatosis Association (Northern),,Charity - National,KT1 1HL,,E05000408,E01002968,51.408258,-0.307731,0
360G-citybridgetrust-12295,,,,87786.0,87800.0,,2015-03-12,,E12000007,RGN/GOR,London-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://1vfva1igmeah9lhs11aj1e1d-wpengine.netdna-ssl.com/wp-content/uploads/2018/05/CBT-360-data-Sept-2013-to-April-2018.xlsx,"£87,800 (£27,900; £29,240; £30,660) towards the Adviser post, direct costs of the Housing Crisis Intervention Service and a 10% contribution to overheads.",Yes,,GB-CHC-1035628,City Bridge Trust,,,,Reducing Poverty,http://www.citybridgetrust.org.uk/what-we-do/grant-making/what-we-fund/reducing-poverty/,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,,,,City Bridge Trust,Kingston upon Thames London Boro,E09000021,1075890,,GB-CHC-1075890,E09000021,LONB,Kingston,,,,,,,Kingston Churches Action on Homelessness,,London,,E05000409,2018-06-04T13:13:34+00:00,Grant to Kingston Churches Action on Homelessness,http://www.kcah.org.uk,Charity,KT2 6QL,530384.0,E05000409,E01002972,51.411229,-0.290567,1
360G-citybridgetrust-14281,,,,0.0,2600.0,,2017-11-21,,E09000021,LONB,Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://1vfva1igmeah9lhs11aj1e1d-wpengine.netdna-ssl.com/wp-content/uploads/2018/05/CBT-360-data-Sept-2013-to-April-2018.xlsx,"£2,600 to provide an eco-audit.",Yes,,GB-CHC-1035628,City Bridge Trust,,,,Eco Audits,http://www.citybridgetrust.org.uk/what-we-do/grant-making/what-we-fund/eco-audits/,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,,,,City Bridge Trust,Kingston upon Thames London Boro,E09000021,XT28803,,GB-REV-XT28803,E09000021,LONB,Kingston,,,,,,,"St John the Evangelist Church, Kingston",,London,,,2018-06-04T13:13:34+00:00,"Eco audit to St John the Evangelist Church, Kingston",http://www.stjohnskingston.co.uk,Place of Worship,,,,,,,1
360G-DEPF-100050,,,,,43257.0,,2016-10-20,GB,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://www.potterfoundation.com/downloads/360giving_Potter_Foundation_data_2013_2017.xlsx,"Kingston will run an extended scoping project to develop a fully accessible, curated and fully searchable online archive of the Leveson Inquiry.  ",No,,GB-CHC-1078217,The David & Elaine Potter Foundation,,,CS - G,Civil Society - Governance,,,https://creativecommons.org/licenses/by/4.0/,,9.0,2017-10-01T00:00:00+00:00,2017-01-01T00:00:00+00:00,The David & Elaine Potter Foundation,Kingston upon Thames London Boro,E09000021,Exempt UK charity,,GB-UKPRN-10003678,,,,,,,,,,Kingston University,KT1 1LQ,London,Grove Ward,E05000408,2018-06-04T13:20:05+00:00,"An accessible, curated Leveson Inquiry archive",,University or College,KT1 1LQ,,E05000408,E01002968,51.406309,-0.30786,0
